,Edad,Sexo,Número_hijos,Nivel_educación,Estado_civil,Renta,Estado_laboral,Conocimiento_financiero,Patrimonio
0,45,M,3,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
1,49,F,5,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
2,51,M,3,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
3,40,F,4,High School,Unknown,Less than $40K,Trabajando,Sí,$10K - $50K
4,40,M,3,Uneducated,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
5,44,M,2,Graduate,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
6,51,M,4,Unknown,Married,$120K +,Trabajando,No,$380K - $1.5M
7,32,M,0,High School,Unknown,$60K - $80K,Trabajando,Sí,$90K - $170K
8,37,M,3,Uneducated,Single,$60K - $80K,Trabajando,No,$90K - $170K
9,48,M,2,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
10,42,M,5,Uneducated,Unknown,$120K +,Trabajando,Sí,$380K - $1.5M
11,65,M,1,Unknown,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
12,56,M,1,College,Single,$80K - $120K,Trabajando,No,$170K - $380K
13,35,M,3,Graduate,Unknown,$60K - $80K,Trabajando,Sí,$90K - $170K
14,57,F,2,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
15,44,M,4,Unknown,Unknown,$80K - $120K,Trabajando,Sí,$170K - $380K
16,48,M,4,Post-Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
17,41,M,3,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
18,61,M,1,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
19,45,F,2,Graduate,Married,0,Desempleado,Sí,$-30K - $10K
20,47,M,1,Doctorate,Divorced,$60K - $80K,Trabajando,No,$90K - $170K
21,62,F,0,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
22,41,M,3,High School,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
23,47,F,4,Unknown,Single,Less than $40K,Trabajando,No,$10K - $50K
24,54,M,2,Unknown,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
25,41,F,3,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
26,59,M,1,High School,Unknown,$40K - $60K,Trabajando,No,$50K - $90K
27,63,M,1,Unknown,Married,$60K - $80K,Trabajando,No,$90K - $170K
28,44,F,3,Uneducated,Single,0,Desempleado,No,$-30K - $10K
29,47,M,4,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
30,53,M,3,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
31,53,M,2,Uneducated,Married,$60K - $80K,Trabajando,No,$90K - $170K
32,41,M,4,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
33,53,F,2,College,Married,Less than $40K,Trabajando,Sí,$10K - $50K
34,58,M,0,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
35,55,F,1,College,Single,Less than $40K,Trabajando,No,$10K - $50K
36,55,F,3,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
37,42,F,4,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
38,57,F,1,Graduate,Unknown,$40K - $60K,Trabajando,Sí,$50K - $90K
39,66,F,0,Doctorate,Married,0,Desempleado,No,$-30K - $10K
40,45,M,3,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
41,51,M,2,Unknown,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
42,50,F,1,College,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
43,49,M,3,High School,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
44,38,F,4,Graduate,Single,0,Desempleado,No,$-30K - $10K
45,49,M,4,Uneducated,Single,$80K - $120K,Trabajando,No,$170K - $380K
46,56,M,2,Doctorate,Married,$60K - $80K,Trabajando,No,$90K - $170K
47,59,M,1,Doctorate,Married,$40K - $60K,Trabajando,No,$50K - $90K
48,46,M,3,High School,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
49,52,M,1,College,Single,$80K - $120K,Trabajando,No,$170K - $380K
50,52,F,3,Unknown,Married,Less than $40K,Trabajando,Sí,$10K - $50K
51,54,F,1,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
52,66,F,0,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
53,49,M,2,Unknown,Married,$120K +,Trabajando,No,$380K - $1.5M
54,56,M,2,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
55,49,F,4,Graduate,Unknown,Less than $40K,Trabajando,No,$10K - $50K
56,49,F,3,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
57,56,M,2,Uneducated,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
58,44,F,5,Graduate,Married,0,Desempleado,Sí,$-30K - $10K
59,42,M,2,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
60,55,M,3,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
61,48,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
62,39,M,1,High School,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
63,44,M,4,Post-Graduate,Single,$120K +,Trabajando,Sí,$380K - $1.5M
64,53,M,2,High School,Single,$120K +,Trabajando,Sí,$380K - $1.5M
65,51,M,4,Uneducated,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
66,57,M,2,College,Married,$60K - $80K,Trabajando,No,$90K - $170K
67,44,F,2,Uneducated,Single,Less than $40K,Trabajando,Sí,$10K - $50K
68,49,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
69,50,M,2,Doctorate,Married,$80K - $120K,Trabajando,No,$170K - $380K
70,51,M,4,Graduate,Single,$120K +,Trabajando,No,$380K - $1.5M
71,55,F,2,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
72,54,M,1,Graduate,Unknown,$60K - $80K,Trabajando,Sí,$90K - $170K
73,42,M,5,Uneducated,Married,$80K - $120K,Trabajando,No,$170K - $380K
74,44,M,1,College,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
75,53,M,2,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
76,44,F,4,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
77,37,F,3,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
78,49,M,3,Graduate,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
79,47,M,2,Graduate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
80,47,M,3,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
81,44,M,1,Unknown,Unknown,$120K +,Trabajando,No,$380K - $1.5M
82,55,F,4,Unknown,Married,$40K - $60K,Trabajando,No,$50K - $90K
83,59,F,1,Graduate,Married,0,Desempleado,No,$-30K - $10K
84,53,M,1,Graduate,Divorced,$80K - $120K,Trabajando,No,$170K - $380K
85,52,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
86,53,M,2,High School,Single,$120K +,Trabajando,No,$380K - $1.5M
87,43,F,3,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
88,44,M,3,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
89,57,M,2,Unknown,Married,$120K +,Trabajando,No,$380K - $1.5M
90,51,F,2,High School,Single,Less than $40K,Trabajando,No,$10K - $50K
91,49,M,4,High School,Single,$80K - $120K,Trabajando,No,$170K - $380K
92,45,M,1,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
93,53,M,0,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
94,45,F,3,Unknown,Married,0,Desempleado,No,$-30K - $10K
95,64,M,1,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
96,45,M,3,Graduate,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
97,53,M,3,Doctorate,Married,$40K - $60K,Trabajando,No,$50K - $90K
