,Edad,Sexo,Número_hijos,Nivel_educación,Estado_civil,Renta,Estado_laboral,Conocimiento_financiero,Patrimonio,Tolerancia_riesgo,Perfil_inversor
0,2,0,3,1,0,4,1,0,4,3.2291999999999996,2
1,2,1,5,2,1,2,1,0,2,2.2655,1
2,2,0,3,2,0,5,1,0,5,3.2945999999999995,2
3,2,1,4,1,1,2,1,1,2,2.7659,2
4,2,0,3,0,0,4,1,1,4,3.6851,3
5,2,0,2,2,0,3,1,1,3,3.7422,3
6,2,0,4,0,0,6,1,0,6,3.2375000000000003,2
7,1,0,0,1,1,4,1,1,4,3.4017,3
8,2,0,3,0,1,4,1,0,4,2.7767999999999997,2
9,2,0,2,2,1,5,1,0,5,2.9126999999999996,2
10,2,0,5,0,1,6,1,1,6,3.2485,2
11,2,0,1,0,0,3,1,1,3,3.7346999999999997,3
12,2,0,1,2,1,5,1,0,5,2.9571999999999994,2
13,2,0,3,2,1,4,1,1,4,3.3106999999999998,2
14,2,1,2,2,0,2,1,0,2,2.8254,2
15,2,0,4,0,1,5,1,1,5,3.2535999999999996,2
16,2,0,4,3,1,5,1,0,5,2.8496999999999995,2
17,2,0,3,0,0,5,1,0,5,3.2425999999999995,2
18,2,0,1,1,0,3,1,0,3,3.2787999999999995,2
19,2,1,2,2,0,1,0,1,1,3.2038999999999995,2
20,2,0,1,4,1,4,1,0,4,2.9697999999999998,2
21,2,1,0,2,0,2,1,1,2,3.3963,3
22,2,0,3,1,0,3,1,1,3,3.6716999999999995,3
23,2,1,4,0,1,2,1,0,2,2.258,1
24,2,0,2,0,0,5,1,1,5,3.7689999999999997,3
25,2,1,3,2,1,2,1,0,2,2.3545,1
26,2,0,1,1,1,3,1,0,3,2.8523999999999994,2
27,2,0,1,0,0,4,1,0,4,3.2922,2
28,2,1,3,0,1,1,0,0,1,2.199099999999999,1
29,2,0,4,1,0,3,1,0,3,3.1452999999999998,2
30,2,0,3,0,0,5,1,0,5,3.2425999999999995,2
31,2,0,2,0,0,4,1,0,4,3.2477,2
32,2,0,4,2,0,4,1,1,4,3.6926,3
33,2,1,2,2,0,2,1,1,2,3.3073,2
34,2,0,0,2,0,5,1,0,5,3.4280999999999997,3
35,2,1,1,2,1,2,1,0,2,2.4435,1
36,2,1,3,2,0,2,1,1,2,3.2628,2
37,2,1,4,1,0,2,1,0,2,2.7104,1
38,2,1,1,2,1,3,1,1,3,2.9647999999999994,2
39,2,1,0,4,0,1,0,0,1,2.8629999999999995,2
40,2,0,3,2,1,5,1,1,5,3.3500999999999994,3
41,2,0,2,0,0,3,1,1,3,3.6902,3
42,2,1,1,2,1,3,1,1,3,2.9647999999999994,2
43,2,0,3,1,0,4,1,1,4,3.7110999999999996,3
44,2,1,4,2,1,1,0,0,1,2.2065999999999995,1
45,2,0,4,0,1,5,1,0,5,2.7716999999999996,2
46,2,0,2,4,0,4,1,0,4,3.3517,3
47,2,0,1,4,0,3,1,0,3,3.3568,3
48,2,0,3,1,0,5,1,1,5,3.7504999999999993,3
49,2,0,1,2,1,5,1,0,5,2.9571999999999994,2
50,2,1,3,0,0,2,1,1,2,3.2108,2
51,2,1,1,2,0,2,1,0,2,2.8699,2
52,2,1,0,1,0,2,1,0,2,2.8884,2
53,2,0,2,0,0,6,1,0,6,3.3265000000000002,2
54,2,0,2,2,0,6,1,0,6,3.3785000000000003,3
55,2,1,4,2,1,2,1,0,2,2.31,1
56,2,1,3,2,1,2,1,0,2,2.3545,1
57,2,0,2,0,0,3,1,1,3,3.6902,3
58,2,1,5,2,0,1,0,1,1,3.0703999999999994,2
59,2,0,2,1,1,4,1,0,4,2.8472999999999997,2
60,2,0,3,0,0,5,1,0,5,3.2425999999999995,2
61,2,0,2,2,0,4,1,0,4,3.2997,2
62,2,0,1,1,1,4,1,1,4,3.3736999999999995,3
63,2,0,4,3,1,6,1,1,6,3.371,3
64,2,0,2,1,1,6,1,1,6,3.408,3
65,2,0,4,0,1,5,1,1,5,3.2535999999999996,2
66,2,0,2,2,0,4,1,0,4,3.2997,2
67,2,1,2,0,1,2,1,1,2,2.8289,2
68,2,0,2,2,0,4,1,0,4,3.2997,2
69,2,0,2,4,0,5,1,0,5,3.3911,3
70,2,0,4,2,1,6,1,0,6,2.8631,2
71,2,1,2,2,0,2,1,1,2,3.3073,2
72,2,0,1,2,1,4,1,1,4,3.3996999999999997,3
73,2,0,5,0,0,5,1,0,5,3.1535999999999995,2
74,2,0,1,2,1,4,1,1,4,3.3996999999999997,3
75,2,0,2,2,1,5,1,1,5,3.3945999999999996,3
76,2,1,4,2,1,2,1,1,2,2.7919,2
77,2,1,3,0,1,2,1,0,2,2.3024999999999998,1
78,2,0,3,2,1,4,1,1,4,3.3106999999999998,2
79,2,0,2,2,0,5,1,1,5,3.8209999999999997,3
80,2,0,3,2,0,4,1,1,4,3.7371,3
81,2,0,1,0,1,6,1,0,6,2.9446,2
82,2,1,4,0,0,3,1,0,3,2.7237999999999998,1
83,2,1,1,2,0,1,0,0,1,2.7664999999999993,2
84,2,0,1,2,1,5,1,0,5,2.9571999999999994,2
85,2,0,2,2,0,4,1,0,4,3.2997,2
86,2,0,2,1,1,6,1,0,6,2.9261,2
87,2,1,3,0,1,2,1,0,2,2.3024999999999998,1
88,2,0,3,1,1,4,1,0,4,2.8027999999999995,2
89,2,0,2,0,0,6,1,0,6,3.3265000000000002,2
90,2,1,2,1,1,2,1,0,2,2.3729999999999998,1
91,2,0,4,1,1,5,1,0,5,2.7976999999999994,2
92,2,0,1,2,1,3,1,0,3,2.8783999999999996,2
93,2,0,0,2,1,5,1,0,5,3.0016999999999996,2
94,2,1,3,0,0,1,0,0,1,2.6254999999999993,1
95,2,0,1,2,0,2,1,0,2,3.2654,2
96,2,0,3,2,0,3,1,1,3,3.6976999999999998,3
97,2,0,3,4,0,3,1,0,3,3.2678,2
98,2,0,3,2,0,6,1,1,6,3.8159,3
99,2,0,2,0,0,5,1,0,5,3.2870999999999997,2
100,2,1,3,2,1,1,0,1,1,2.732999999999999,2
101,2,1,3,0,0,1,0,0,1,2.6254999999999993,1
102,2,0,3,2,0,6,1,1,6,3.8159,3
103,2,1,2,2,1,2,1,0,2,2.399,1
104,2,0,3,1,1,4,1,0,4,2.8027999999999995,2
105,2,1,4,3,0,2,1,0,2,2.7624,2
106,2,0,2,3,1,6,1,0,6,2.9781,2
107,2,0,1,0,0,4,1,0,4,3.2922,2
108,2,1,1,0,0,2,1,0,2,2.8179,2
109,2,0,4,0,1,6,1,0,6,2.8111,2
110,2,0,4,2,0,4,1,0,4,3.2107,2
111,2,0,3,0,0,4,1,1,4,3.6851,3
112,2,0,4,1,1,4,1,1,4,3.2401999999999997,2
113,2,1,0,0,0,2,1,1,2,3.3443,2
114,2,0,3,2,1,5,1,0,5,2.8681999999999994,2
115,2,0,1,2,1,5,1,0,5,2.9571999999999994,2
116,2,0,3,1,1,5,1,1,5,3.324099999999999,2
117,2,0,3,1,1,5,1,0,5,2.842199999999999,2
118,2,0,1,4,0,4,1,0,4,3.3962,3
119,2,1,2,1,0,2,1,1,2,3.2813,2
120,2,0,2,2,1,6,1,0,6,2.9521,2
121,2,1,1,4,0,2,1,0,2,2.9219,2
122,2,0,1,1,0,5,1,0,5,3.3575999999999993,3
123,2,1,3,1,1,3,1,0,3,2.3678999999999992,1
124,2,0,2,2,1,6,1,0,6,2.9521,2
125,2,0,3,2,1,4,1,1,4,3.3106999999999998,2
126,2,0,4,2,1,6,1,1,6,3.345,3
127,2,0,2,2,0,5,1,0,5,3.3390999999999997,2
128,2,0,2,1,1,3,1,0,3,2.8078999999999996,2
129,2,1,1,0,1,2,1,0,2,2.3914999999999997,1
130,2,1,1,2,0,2,1,1,2,3.3518,3
131,2,0,4,0,0,3,1,0,3,3.1193,2
132,2,0,4,2,0,5,1,1,5,3.7319999999999998,3
133,2,0,1,2,0,5,1,1,5,3.8654999999999995,3
134,2,0,2,4,1,2,1,1,2,3.3284000000000002,2
135,2,1,3,2,1,3,1,1,3,2.8757999999999995,2
136,2,0,2,1,1,4,1,1,4,3.3291999999999997,2
137,2,0,4,2,1,4,1,1,4,3.2662,2
138,2,1,1,2,0,1,0,0,1,2.7664999999999993,2
139,2,1,2,3,1,2,1,0,2,2.425,1
140,2,1,5,1,0,2,1,0,2,2.6658999999999997,1
141,2,0,1,0,1,6,1,0,6,2.9446,2
142,2,0,4,2,0,5,1,1,5,3.7319999999999998,3
143,2,1,1,2,1,2,1,0,2,2.4435,1
144,2,0,1,2,1,4,1,1,4,3.3996999999999997,3
145,2,1,4,0,0,2,1,0,2,2.6844,1
146,2,1,2,2,1,2,1,1,2,2.8809,2
147,2,0,2,2,0,6,1,1,6,3.8604000000000003,3
148,2,1,4,2,0,1,0,1,1,3.1148999999999996,2
149,2,0,2,1,0,5,1,1,5,3.7949999999999995,3
150,2,0,3,1,1,5,1,0,5,2.842199999999999,2
151,2,0,1,2,0,1,0,1,1,3.6438999999999995,3
152,2,1,1,2,1,3,1,0,3,2.4828999999999994,1
153,2,0,4,0,1,4,1,0,4,2.7323,2
154,2,1,1,2,0,2,1,0,2,2.8699,2
155,2,1,5,0,0,3,1,0,3,2.6792999999999996,1
156,2,1,4,1,1,3,1,0,3,2.3233999999999995,1
157,2,0,1,4,0,6,1,1,6,3.9569,3
158,2,1,2,0,0,1,0,1,1,3.1518999999999995,2
159,2,1,4,2,1,2,1,0,2,2.31,1
160,2,0,0,1,0,5,1,1,5,3.8839999999999995,3
161,2,1,1,2,1,1,0,0,1,2.340099999999999,1
162,2,0,1,0,0,4,1,0,4,3.2922,2
163,2,1,4,0,1,2,1,0,2,2.258,1
164,2,1,4,0,0,3,1,1,3,3.2056999999999998,2
165,2,1,3,0,0,2,1,1,2,3.2108,2
166,2,1,3,0,0,2,1,0,2,2.7289,2
167,2,1,4,0,0,2,1,1,2,3.1663,2
168,2,0,5,2,1,5,1,1,5,3.2610999999999994,2
169,2,0,3,1,0,4,1,0,4,3.2291999999999996,2
170,2,1,4,0,1,1,0,0,1,2.1545999999999994,1
171,2,1,1,1,0,2,1,0,2,2.8438999999999997,2
172,2,0,2,0,0,5,1,0,5,3.2870999999999997,2
173,2,0,2,1,0,5,1,1,5,3.7949999999999995,3
174,2,1,3,1,0,3,1,1,3,3.2761999999999993,2
175,2,1,5,2,1,3,1,0,3,2.3048999999999995,1
176,2,0,3,0,0,5,1,0,5,3.2425999999999995,2
177,2,1,1,2,0,2,1,1,2,3.3518,3
178,2,1,2,0,1,3,1,1,3,2.8682999999999996,2
179,2,1,1,0,0,3,1,0,3,2.8572999999999995,2
180,2,0,2,0,0,3,1,0,3,3.2083,2
181,2,0,3,2,0,5,1,0,5,3.2945999999999995,2
182,2,1,1,0,0,2,1,0,2,2.8179,2
183,2,0,1,2,0,4,1,1,4,3.8261,3
184,2,0,3,2,0,4,1,0,4,3.2552,2
185,2,1,3,0,1,1,0,1,1,2.680999999999999,1
