,HHSEX,AGECL,EDCL,MARRIED,KIDS,RACE,OCCAT1,KNOWL,YESFINRISK,NOFINRISK,NWCAT,INCCAT,Tolerancia_riesgo
0,2,6,4,2,0,1,1,6,0,0,5,3,0.9261811023622047
1,2,6,4,2,0,1,1,6,0,0,5,3,0.9193877551020408
2,2,6,4,2,0,1,1,6,0,0,5,3,0.9216269841269841
3,2,6,4,2,0,1,1,6,0,0,5,2,0.9446808510638298
4,2,6,4,2,0,1,1,6,0,0,5,3,0.9256756756756757
5,1,3,2,1,3,1,4,5,0,0,1,2,0.0
6,1,3,2,1,3,1,4,5,0,0,1,2,0.0
7,1,3,2,1,3,1,4,5,0,0,1,2,0.0
8,1,3,2,1,3,1,4,5,0,0,1,2,0.0
9,1,3,2,1,3,1,4,5,0,0,1,2,0.0
10,1,3,2,1,0,1,1,7,0,0,2,4,0.0
11,1,3,2,1,0,1,1,7,0,0,2,4,0.0
12,1,3,2,1,0,1,1,7,0,0,2,4,0.0
13,1,3,2,1,0,1,1,7,0,0,2,4,0.0
14,1,3,2,1,0,1,1,7,0,0,2,4,0.0
15,1,1,4,1,0,1,1,8,0,0,1,4,0.0
16,1,1,4,1,0,1,1,8,0,0,1,4,0.0
17,1,1,4,1,0,1,1,8,0,0,1,4,0.0
18,1,1,4,1,0,1,1,8,0,0,1,4,0.0
19,1,1,4,1,0,1,1,8,0,0,1,4,0.0
20,1,3,2,1,0,1,1,7,0,1,1,2,0.0
21,1,3,2,1,0,1,1,7,0,1,1,2,0.0
22,1,3,2,1,0,1,1,7,0,1,1,2,0.0
23,1,3,2,1,0,1,1,7,0,1,1,2,0.0
24,1,3,2,1,0,1,1,7,0,1,1,2,0.0
25,1,1,4,2,0,1,1,4,0,0,1,2,0.0
26,1,1,4,2,0,1,1,4,0,0,1,2,0.0
27,1,1,4,2,0,1,1,4,0,0,1,2,0.0
28,1,1,4,2,0,1,1,4,0,0,1,2,0.0
29,1,1,4,2,0,1,1,4,0,0,1,2,0.0
30,2,3,2,2,0,1,3,5,0,1,1,1,0.0
31,2,3,2,2,0,1,3,5,0,1,1,1,0.0
32,2,3,2,2,0,1,3,5,0,1,1,1,0.0
33,2,3,2,2,0,1,3,5,0,1,1,1,0.0
34,2,3,2,2,0,1,3,5,0,1,1,1,0.0
35,1,3,4,1,3,1,1,9,0,0,5,6,0.8910869843817147
36,1,3,4,1,3,1,1,9,0,0,5,6,0.8366095470230847
37,1,3,4,1,3,1,1,9,0,0,5,6,0.8733280894272009
38,1,3,4,1,3,1,1,9,0,0,5,6,0.8297688568017233
39,1,3,4,1,3,1,1,9,0,0,5,6,0.8880303539918365
40,1,5,4,1,0,1,3,6,0,0,4,4,0.9831460674157303
41,1,5,4,1,0,1,3,6,0,0,4,4,0.9831460674157303
42,1,5,4,1,0,1,3,6,0,0,4,4,0.9831460674157303
43,1,5,4,1,0,1,3,6,0,0,4,4,0.9831460674157303
44,1,5,4,1,0,1,3,6,0,0,4,4,0.9831460674157303
45,1,4,4,2,0,1,1,10,0,0,4,4,0.9174311926605505
46,1,4,4,2,0,1,1,10,0,0,4,5,0.8771929824561403
47,1,4,4,2,0,1,1,10,0,0,4,5,0.8832807570977917
48,1,4,4,2,0,1,1,10,0,0,4,4,0.93812375249501
49,1,4,4,2,0,1,1,10,0,0,4,4,0.9003215434083601
50,1,4,3,2,0,1,2,4,0,1,1,2,0.5484949832775919
51,1,4,3,2,0,1,2,4,0,1,1,2,0.55
52,1,4,3,2,0,1,2,4,0,1,1,2,0.55
53,1,4,3,2,0,1,2,4,0,1,1,2,0.5484949832775919
54,1,4,3,2,0,1,2,4,0,1,1,2,0.55
55,1,5,4,1,0,1,1,10,0,1,3,5,0.0
56,1,5,4,1,0,1,1,10,0,1,3,5,0.0
57,1,5,4,1,0,1,1,10,0,1,3,5,0.0
58,1,5,4,1,0,1,1,10,0,1,3,5,0.0
59,1,5,4,1,0,1,1,10,0,1,3,5,0.0
60,1,1,4,1,0,1,1,7,0,0,1,3,0.004149377593360996
61,1,1,4,1,0,1,1,7,0,0,1,3,0.004149377593360996
62,1,1,4,1,0,1,1,7,0,0,1,3,0.004149377593360996
63,1,1,4,1,0,1,1,7,0,0,1,3,0.004149377593360996
64,1,1,4,1,0,1,1,7,0,0,1,3,0.004149377593360996
65,1,3,4,1,2,1,3,9,0,0,5,6,0.6940611877624475
66,1,3,4,1,2,1,3,9,0,0,5,6,0.6940611877624475
67,1,3,4,1,2,1,3,9,0,0,5,6,0.6940611877624475
68,1,3,4,1,2,1,3,9,0,0,5,6,0.6940611877624475
69,1,3,4,1,2,1,3,9,0,0,5,6,0.6940611877624475
70,1,4,4,1,1,1,1,7,0,0,4,6,0.0
71,1,4,4,1,1,1,1,7,0,0,4,6,0.0
72,1,4,4,1,1,1,1,7,0,0,4,6,0.0
73,1,4,4,1,1,1,1,7,0,0,4,6,0.0
74,1,4,4,1,1,1,1,7,0,0,4,6,0.0
75,2,5,4,2,0,1,3,8,0,0,5,4,0.9938556067588326
76,2,5,4,2,0,1,3,8,0,0,5,4,0.9911111111111112
77,2,5,4,2,0,1,3,8,0,0,5,4,0.9948542024013722
78,2,5,4,2,0,1,3,8,0,0,5,4,0.9879032258064516
79,2,5,4,2,0,1,3,8,0,0,5,4,0.9880715705765407
80,1,4,4,1,0,1,2,10,0,1,3,5,0.7809449433814916
81,1,4,4,1,0,1,2,10,0,1,3,5,0.7809449433814916
82,1,4,4,1,0,1,2,10,0,1,3,5,0.7809449433814916
83,1,4,4,1,0,1,2,10,0,1,3,5,0.7809449433814916
84,1,4,4,1,0,1,2,10,0,1,3,5,0.7809449433814916
85,1,4,4,1,0,1,2,8,0,0,5,5,0.8317757009345794
86,1,4,4,1,0,1,2,8,0,0,5,5,0.8317757009345794
87,1,4,4,1,0,1,2,8,0,0,5,5,0.8317757009345794
88,1,4,4,1,0,1,2,8,0,0,5,5,0.8317757009345794
89,1,4,4,1,0,1,2,8,0,0,5,5,0.8317757009345794
90,2,6,3,2,0,2,3,10,0,1,3,2,0.0
91,2,6,3,2,0,2,3,10,0,1,3,2,0.0
92,2,6,3,2,0,2,3,10,0,1,3,2,0.0
93,2,6,3,2,0,2,3,10,0,1,3,2,0.0
94,2,6,3,2,0,2,3,10,0,1,3,2,0.0
95,1,3,4,1,0,5,2,8,0,0,5,6,0.9882491186839013
96,1,3,4,1,0,5,2,8,0,0,5,6,0.9882491186839013
97,1,3,4,1,0,5,2,8,0,0,5,6,0.9882491186839013
98,1,3,4,1,0,5,2,8,0,0,5,6,0.9882491186839013
99,1,3,4,1,0,5,2,8,0,0,5,6,0.9882491186839013
100,1,3,4,1,0,1,1,9,0,0,4,5,0.0
101,1,3,4,1,0,1,1,9,0,0,4,5,0.0
102,1,3,4,1,0,1,1,9,0,0,4,5,0.0
103,1,3,4,1,0,1,1,9,0,0,4,5,0.0
104,1,3,4,1,0,1,1,9,0,0,4,5,0.0
105,2,6,3,2,0,1,3,3,0,1,3,1,0.0
106,2,6,4,2,0,1,3,3,0,1,3,1,0.0
107,2,6,4,2,0,1,3,3,0,1,3,1,0.0
108,2,6,4,2,0,1,3,3,0,1,3,1,0.0
109,2,6,3,2,0,1,3,3,0,1,3,1,0.0
110,1,5,3,2,0,1,3,8,0,1,1,1,0.0
111,1,5,3,2,0,1,3,8,0,1,1,1,0.0
112,1,5,3,2,0,1,3,8,0,1,1,1,0.0
113,1,5,3,2,0,1,3,8,0,1,1,1,0.0
114,1,5,3,2,0,1,3,8,0,1,1,1,0.0
115,1,4,4,1,0,1,2,10,0,0,5,6,0.9907325684024714
116,1,4,4,1,0,1,2,10,0,0,5,6,0.991359177954227
117,1,4,4,1,0,1,2,10,0,0,5,6,0.9923586347427407
118,1,4,4,1,0,1,2,10,0,0,5,6,0.9906187178914452
119,1,4,4,1,0,1,2,10,0,0,5,6,0.9902143522833178
120,1,2,4,1,1,5,1,6,1,0,3,5,0.8322663252240717
121,1,2,4,1,1,5,1,6,1,0,3,5,0.8322663252240717
122,1,2,4,1,1,5,1,6,1,0,3,5,0.8322663252240717
123,1,2,4,1,1,5,1,6,1,0,3,5,0.8322663252240717
124,1,2,4,1,1,5,1,6,1,0,3,5,0.8322663252240717
125,1,1,3,1,2,2,1,8,0,1,1,2,0.0
126,1,1,3,1,2,2,1,8,0,1,1,2,0.0
127,1,1,3,1,2,2,1,8,0,1,1,2,0.0
128,1,1,3,1,2,2,1,8,0,1,1,2,0.0
129,1,1,3,1,2,2,1,8,0,1,1,2,0.0
130,1,5,4,1,5,1,3,9,0,0,3,4,0.0
131,1,5,4,1,5,1,3,9,0,0,3,4,0.0
132,1,5,4,1,5,1,3,9,0,0,3,4,0.0
133,1,5,4,1,5,1,3,9,0,0,3,4,0.0
134,1,5,4,1,5,1,3,9,0,0,3,4,0.0
135,1,3,2,2,0,2,1,5,1,0,1,2,0.0
136,1,3,2,2,0,2,1,5,1,0,1,2,0.0
137,1,3,2,2,0,2,1,5,1,0,1,2,0.0
138,1,3,2,2,0,2,1,5,1,0,1,2,0.0
139,1,3,2,2,0,2,1,5,1,0,1,2,0.0
140,1,4,4,1,1,1,2,9,0,0,5,6,0.9930279578888657
141,1,4,4,1,1,1,2,9,0,0,5,6,0.9930858051579894
142,1,4,4,1,1,1,2,9,0,0,5,6,0.9889172115704311
143,1,4,4,1,1,1,2,9,0,0,5,6,0.9940789863224584
144,1,4,4,1,1,1,2,9,0,0,5,6,0.9903873882533885
145,1,3,3,1,0,1,1,7,0,0,3,4,0.5277044854881267
146,1,3,3,1,0,1,1,7,0,0,3,4,0.5277044854881267
147,1,3,3,1,0,1,1,7,0,0,3,4,0.5277044854881267
148,1,3,3,1,0,1,1,7,0,0,3,4,0.5277044854881267
149,1,3,3,1,0,1,1,7,0,0,3,4,0.5277044854881267
150,1,1,3,1,2,1,1,6,0,0,1,3,0.0
151,1,1,3,1,2,1,1,6,0,0,1,3,0.0
152,1,1,3,1,2,1,1,6,0,0,1,3,0.0
153,1,1,3,1,2,1,1,6,0,0,1,3,0.0
154,1,1,3,1,2,1,1,6,0,0,1,3,0.0
155,2,4,4,2,1,1,3,8,0,0,3,2,0.4249667994687915
156,2,4,4,2,1,1,3,8,0,0,3,2,0.398505603985056
157,2,4,4,2,1,1,3,8,0,0,3,2,0.4306864064602961
158,2,4,4,2,1,1,3,8,0,0,3,2,0.398505603985056
159,2,4,4,2,1,1,3,8,0,0,3,2,0.3888213851761847
160,1,3,3,1,2,5,4,6,0,1,1,3,0.0
161,1,3,3,1,2,5,4,6,0,1,1,3,0.0
162,1,3,3,1,2,5,4,6,0,1,1,3,0.0
163,1,3,3,1,2,5,4,6,0,1,1,3,0.0
164,1,3,3,1,2,5,4,6,0,1,1,3,0.0
165,1,6,3,1,0,1,3,7,0,0,5,5,0.9632079371641175
166,1,6,3,1,0,1,3,7,0,0,5,4,0.9632079371641175
167,1,6,3,1,0,1,3,7,0,0,5,4,0.9632079371641175
168,1,6,3,1,0,1,3,7,0,0,5,4,0.9632079371641175
169,1,6,3,1,0,1,3,7,0,0,5,4,0.9632079371641175
170,1,2,4,1,0,1,1,5,0,1,1,5,0.5990893841361131
171,1,2,4,1,0,1,1,5,0,1,1,5,0.6999125109361329
172,1,2,4,1,0,1,1,5,0,1,1,5,0.5221932114882507
173,1,2,4,1,0,1,1,5,0,1,1,5,0.5662751677852349
174,1,2,4,1,0,1,1,5,0,1,1,5,0.6307904592943032
175,2,6,2,2,0,2,3,5,0,1,2,3,0.0
176,2,6,2,2,0,2,3,5,0,1,2,3,0.0
177,2,6,2,2,0,2,3,5,0,1,2,3,0.0
178,2,6,2,2,0,2,3,5,0,1,2,3,0.0
179,2,6,2,2,0,2,3,5,0,1,2,3,0.0
180,1,3,1,1,0,3,4,6,0,1,1,2,0.0
181,1,3,1,1,0,3,4,6,0,1,1,2,0.0
182,1,3,1,1,0,3,4,6,0,1,1,2,0.0
183,1,3,1,1,0,3,4,6,0,1,1,2,0.0
184,1,3,1,1,0,3,4,6,0,1,2,2,0.0
185,1,3,4,1,2,2,2,9,0,0,5,6,0.9853640687888767
186,1,3,4,1,2,2,2,9,0,0,5,6,0.9856825828620517
187,1,3,4,1,2,2,2,9,0,0,5,6,0.9856836077308518
188,1,3,4,1,2,2,2,9,0,0,5,6,0.9855699855699855
189,1,3,4,1,2,2,2,9,0,0,5,6,0.9855491329479769
190,2,3,4,2,2,2,1,8,0,0,2,3,0.0
191,2,3,4,2,2,2,1,8,0,0,2,3,0.0
192,2,3,4,2,2,2,1,8,0,0,2,3,0.0
193,2,3,4,2,2,2,1,8,0,0,2,3,0.0
194,2,3,4,2,2,2,1,8,0,0,2,3,0.0
195,1,5,4,2,0,2,3,9,1,0,2,2,0.0
196,1,5,4,2,0,2,3,9,1,0,2,2,0.0
197,1,5,4,2,0,2,3,9,1,0,2,2,0.0
198,1,5,4,2,0,2,3,9,1,0,2,2,0.0
199,1,5,4,2,0,2,3,9,1,0,2,2,0.0
200,1,4,4,1,2,2,2,8,0,0,5,6,0.8182636445462728
201,1,4,4,1,2,2,2,8,0,0,5,6,0.8182636445462728
202,1,4,4,1,2,2,2,8,0,0,5,6,0.8182636445462728
203,1,4,4,1,2,2,2,8,0,0,5,6,0.8182636445462728
204,1,4,4,1,2,2,2,8,0,0,5,6,0.8182636445462728
205,1,4,4,1,0,1,2,7,0,0,5,6,0.9477700930121631
206,1,4,4,1,0,1,2,7,0,0,5,6,0.9404729546072302
207,1,4,4,1,0,1,2,7,0,0,5,6,0.9298751200768491
208,1,4,4,1,0,1,2,7,0,0,5,6,0.9485794787508804
209,1,4,4,1,0,1,2,7,0,0,5,6,0.9150174621653085
210,1,5,4,1,0,1,3,10,0,1,3,3,0.5803571428571429
211,1,5,4,1,0,1,3,10,0,1,3,3,0.611353711790393
212,1,5,4,1,0,1,3,10,0,1,3,3,0.6920415224913494
213,1,5,4,1,0,1,3,10,0,1,3,3,0.7374631268436578
214,1,5,4,1,0,1,3,10,0,1,3,3,0.7053291536050157
215,1,2,1,1,5,3,1,7,0,0,1,3,0.0
216,1,2,1,1,5,3,1,7,0,0,1,3,0.0
217,1,2,1,1,5,3,1,7,0,0,1,3,0.0
218,1,2,1,1,5,3,1,7,0,0,1,3,0.0
219,1,2,1,1,5,3,1,7,0,0,1,3,0.0
220,1,2,1,1,3,3,1,9,0,0,3,3,0.0
221,1,2,1,1,3,3,1,9,0,0,3,3,0.0
222,1,2,1,1,3,3,1,9,0,0,3,3,0.0
223,1,2,1,1,3,3,1,9,0,0,3,3,0.0
224,1,2,1,1,3,3,1,9,0,0,3,3,0.0
225,1,4,3,1,1,5,3,10,0,0,5,6,0.9397061051355855
226,1,4,3,1,1,2,3,10,0,0,5,6,0.9534280559314389
227,1,4,3,1,1,1,3,10,0,0,5,6,0.9222439197585656
228,1,4,3,1,1,5,3,10,0,0,5,6,0.906569596117178
229,1,4,3,1,1,2,3,10,0,0,5,6,0.9479584775086505
230,1,4,4,1,0,1,2,10,0,0,5,6,0.9720528993957384
